1619739021675,0
1619739021675,15552
1619739021699,10368
1619739021723,15552
1619739021752,18792
1619739021783,20088
1619739021794,7128
1619739021818,14256
1619739021842,7776
1619739021866,15552
1619739021890,25344
1619739021914,25344
1619739021939,26400
1619739021963,25344
1619739021989,27456
1619739022010,22176
1619739022034,25344
1619739022063,8448
1619739022086,13728
1619739022120,26400
1619739022132,17472
1619739022155,33488
1619739022179,34944
1619739022206,39312
1619739022235,42224
1619739022251,23296
1619739022275,34944
1619739022298,33488
1619739022327,42224
1619739022355,40768
1619739022383,40768
1619739022394,16016
1619739022420,37856
1619739022446,37856
1619739022473,39312
1619739022490,24752
1619739022515,36400
1619739022539,34944
1619739022561,32032
1619739022585,33488
1619739022609,34944
1619739022634,36400
1619739022666,46592
1619739022684,26208
1619739022713,42224
1619739022729,23296
1619739022758,42224
1619739022783,36400
1619739022802,27664
1619739022824,32032
1619739022848,34944
1619739022883,50960
1619739022896,18928
1619739022920,34944
1619739022946,37856
1619739022979,48048
1619739022992,18928
1619739023019,39312
1619739023040,30576
1619739023064,34944
1619739023096,46592
1619739023114,26208
1619739023135,30576
1619739023159,34944
1619739023183,34944
1619739023213,43680
1619739023233,29120
1619739023255,32032
1619739023287,46592
1619739023304,24752
1619739023314,14560
1619739023338,33488
1619739023370,46592
1619739023386,23296
1619739023416,43680
1619739023439,27664
1619739023471,46592
1619739023492,30576
1619739023517,34944
1619739023531,18928
1619739023561,42224
1619739023585,33488
1619739023604,26208
1619739023637,48048
1619739023649,17472
1619739023685,49504
1619739023707,32032
1619739023728,30576
1619739023756,40768
1619739023769,17472
1619739023796,39312
1619739023824,40768
1619739023846,32032
1619739023866,29120
1619739023895,42224
1619739023914,27664
1619739023933,27664
1619739023948,21840
1619739023973,36400
1619739023996,33488
1619739024020,34944
1619739024051,45136
1619739024069,26208
1619739024091,32032
1619739024116,36400
1619739024140,34944
1619739024173,48048
1619739024194,30576
1619739024213,26208
1619739024235,32032
1619739024259,34944
1619739024289,43680
1619739024309,29120
1619739024330,30576
1619739024357,39312
1619739024378,30576
1619739024404,37856
1619739024426,32032
1619739024455,42224
1619739024474,27664
1619739024498,34944
1619739024521,33488
1619739024545,33488
1619739024574,40768
1619739024596,32032
1619739024626,43680
1619739024646,29120
1619739024673,39312
1619739024696,33488
1619739024719,33488
1619739024737,26208
1619739024767,43680
1619739024794,39312
1619739024810,23296
1619739024832,32032
1619739024857,36400
1619739024886,42224
1619739024906,29120
1619739024928,32032
1619739024952,34944
1619739024976,34944
1619739025003,39312
1619739025027,34944
1619739025048,30576
1619739025074,37856
1619739025095,30576
1619739025119,34944
1619739025147,40768
1619739025167,29120
1619739025192,36400
1619739025215,33488
1619739025241,37856
1619739025263,32032
1619739025286,33488
1619739025310,34944
1619739025334,34944
1619739025358,34944
1619739025382,34944
1619739025407,36400
1619739025430,33488
1619739025454,34944
1619739025478,34944
1619739025502,34944
1619739025525,20384
1619739025556,45136
1619739025574,26208
1619739025606,46592
1619739025623,24752
1619739025649,37856
1619739025678,39312
1619739025703,36400
1619739025727,34944
1619739025751,32032
1619739025774,30576
1619739025789,18928
1619739025828,56784
1619739025847,27664
1619739025870,30576
1619739025895,36400
1619739025913,26208
1619739025932,27664
1619739025956,34944
1619739025985,40768
1619739026006,27664
